fileTrak,MFI,artist,album,song,localPath,duracion
/audio/hombre/Imagine Dragons/Mercury/Easy Come Easy Go.flac,hombre,Imagine Dragons,Mercury,Easy Come Easy Go,/audio/hombre/Imagine Dragons/Mercury,179.87219954648526
/audio/hombre/Imagine Dragons/Mercury/Follow You.flac,hombre,Imagine Dragons,Mercury,Follow You,/audio/hombre/Imagine Dragons/Mercury,175.6438775510204
/audio/hombre/Imagine Dragons/Mercury/Giants.flac,hombre,Imagine Dragons,Mercury,Giants,/audio/hombre/Imagine Dragons/Mercury,210.4022902494331
/audio/hombre/Imagine Dragons/Mercury/Lonely.flac,hombre,Imagine Dragons,Mercury,Lonely,/audio/hombre/Imagine Dragons/Mercury,159.85120181405895
/audio/hombre/Imagine Dragons/Mercury/Monday.flac,hombre,Imagine Dragons,Mercury,Monday,/audio/hombre/Imagine Dragons/Mercury,187.89625850340136
/audio/hombre/Imagine Dragons/Mercury/My Life.flac,hombre,Imagine Dragons,Mercury,My Life,/audio/hombre/Imagine Dragons/Mercury,224.51215419501133
/audio/hombre/Imagine Dragons/Mercury/No Time For Toxic People.flac,hombre,Imagine Dragons,Mercury,No Time For Toxic People,/audio/hombre/Imagine Dragons/Mercury,207.8700680272109
/audio/hombre/Imagine Dragons/Mercury/One Day.flac,hombre,Imagine Dragons,Mercury,One Day,/audio/hombre/Imagine Dragons/Mercury,151.33736961451248
/audio/hombre/Imagine Dragons/Mercury/Wrecked.flac,hombre,Imagine Dragons,Mercury,Wrecked,/audio/hombre/Imagine Dragons/Mercury,244.00487528344672
/audio/hombre/Imagine Dragons/Night Visions/01.-Radioactive.flac,hombre,Imagine Dragons,Night Visions,01.-Radioactive,/audio/hombre/Imagine Dragons/Night Visions,186.81333333333333
/audio/hombre/Imagine Dragons/Night Visions/02.-Tiptoe.flac,hombre,Imagine Dragons,Night Visions,02.-Tiptoe,/audio/hombre/Imagine Dragons/Night Visions,194.2
/audio/hombre/Imagine Dragons/Night Visions/03.-It's Time.flac,hombre,Imagine Dragons,Night Visions,03.-It's Time,/audio/hombre/Imagine Dragons/Night Visions,240.30666666666667
/audio/hombre/Imagine Dragons/Night Visions/04.-Demons.flac,hombre,Imagine Dragons,Night Visions,04.-Demons,/audio/hombre/Imagine Dragons/Night Visions,177.50666666666666
/audio/hombre/Imagine Dragons/Night Visions/05.-On Top Of The World.flac,hombre,Imagine Dragons,Night Visions,05.-On Top Of The World,/audio/hombre/Imagine Dragons/Night Visions,192.28
/audio/hombre/Imagine Dragons/Night Visions/06.-Amsterdam.flac,hombre,Imagine Dragons,Night Visions,06.-Amsterdam,/audio/hombre/Imagine Dragons/Night Visions,241.42666666666668
/audio/hombre/Imagine Dragons/Night Visions/07.-Hear Me.flac,hombre,Imagine Dragons,Night Visions,07.-Hear Me,/audio/hombre/Imagine Dragons/Night Visions,235.38666666666666
/audio/hombre/Imagine Dragons/Night Visions/08.-Every Night.flac,hombre,Imagine Dragons,Night Visions,08.-Every Night,/audio/hombre/Imagine Dragons/Night Visions,217.34666666666666
/audio/hombre/Imagine Dragons/Night Visions/09.-Bleeding Out.flac,hombre,Imagine Dragons,Night Visions,09.-Bleeding Out,/audio/hombre/Imagine Dragons/Night Visions,223.10666666666665
/audio/hombre/Imagine Dragons/Night Visions/10.-Underdog.flac,hombre,Imagine Dragons,Night Visions,10.-Underdog,/audio/hombre/Imagine Dragons/Night Visions,209.44
/audio/hombre/Imagine Dragons/Night Visions/11.-Nothing Left To Say  Rocks.flac,hombre,Imagine Dragons,Night Visions,11.-Nothing Left To Say  Rocks,/audio/hombre/Imagine Dragons/Night Visions,536.08
/audio/hombre/Imagine Dragons/Origins/Bad Liar.flac,hombre,Imagine Dragons,Origins,Bad Liar,/audio/hombre/Imagine Dragons/Origins,260.7733333333333
/audio/hombre/Imagine Dragons/Origins/Birds.flac,hombre,Imagine Dragons,Origins,Birds,/audio/hombre/Imagine Dragons/Origins,219.44
/audio/hombre/Imagine Dragons/Origins/Boomerang.flac,hombre,Imagine Dragons,Origins,Boomerang,/audio/hombre/Imagine Dragons/Origins,187.8
/audio/hombre/Imagine Dragons/Origins/Born To Be Yours.flac,hombre,Imagine Dragons,Origins,Born To Be Yours,/audio/hombre/Imagine Dragons/Origins,193.32
/audio/hombre/Imagine Dragons/Origins/Bullet In A Gun.flac,hombre,Imagine Dragons,Origins,Bullet In A Gun,/audio/hombre/Imagine Dragons/Origins,204.85333333333332
/audio/hombre/Imagine Dragons/Origins/Burn Out.flac,hombre,Imagine Dragons,Origins,Burn Out,/audio/hombre/Imagine Dragons/Origins,273.88
/audio/hombre/Imagine Dragons/Origins/Cool Out.flac,hombre,Imagine Dragons,Origins,Cool Out,/audio/hombre/Imagine Dragons/Origins,217.86666666666667
/audio/hombre/Imagine Dragons/Origins/Digital.flac,hombre,Imagine Dragons,Origins,Digital,/audio/hombre/Imagine Dragons/Origins,201.04
/audio/hombre/Imagine Dragons/Origins/Love.flac,hombre,Imagine Dragons,Origins,Love,/audio/hombre/Imagine Dragons/Origins,166.36
/audio/hombre/Imagine Dragons/Origins/Machine.flac,hombre,Imagine Dragons,Origins,Machine,/audio/hombre/Imagine Dragons/Origins,181.88
/audio/hombre/Imagine Dragons/Origins/Natural.flac,hombre,Imagine Dragons,Origins,Natural,/audio/hombre/Imagine Dragons/Origins,189.46666666666667
/audio/hombre/Imagine Dragons/Origins/Only.flac,hombre,Imagine Dragons,Origins,Only,/audio/hombre/Imagine Dragons/Origins,180.73333333333332
/audio/hombre/Imagine Dragons/Origins/Real Life.flac,hombre,Imagine Dragons,Origins,Real Life,/audio/hombre/Imagine Dragons/Origins,247.54666666666665
/audio/hombre/Imagine Dragons/Origins/Stuck.flac,hombre,Imagine Dragons,Origins,Stuck,/audio/hombre/Imagine Dragons/Origins,190.85333333333332
/audio/hombre/Imagine Dragons/Origins/West Coast.flac,hombre,Imagine Dragons,Origins,West Coast,/audio/hombre/Imagine Dragons/Origins,217.17333333333335
/audio/hombre/Imagine Dragons/Origins/Zero.flac,hombre,Imagine Dragons,Origins,Zero,/audio/hombre/Imagine Dragons/Origins,210.93333333333334
/audio/hombre/Imagine Dragons/Smoke_Mirrors/01.-Shots.flac,hombre,Imagine Dragons,Smoke_Mirrors,01.-Shots,/audio/hombre/Imagine Dragons/Smoke_Mirrors,232.33333333333334
/audio/hombre/Imagine Dragons/Smoke_Mirrors/02.-Gold.flac,hombre,Imagine Dragons,Smoke_Mirrors,02.-Gold,/audio/hombre/Imagine Dragons/Smoke_Mirrors,216.81333333333333
/audio/hombre/Imagine Dragons/Smoke_Mirrors/03.-Smoke And Mirrors.flac,hombre,Imagine Dragons,Smoke_Mirrors,03.-Smoke And Mirrors,/audio/hombre/Imagine Dragons/Smoke_Mirrors,260.9066666666667
/audio/hombre/Imagine Dragons/Smoke_Mirrors/04.-I'm So Sorry.flac,hombre,Imagine Dragons,Smoke_Mirrors,04.-I'm So Sorry,/audio/hombre/Imagine Dragons/Smoke_Mirrors,230.34666666666666
/audio/hombre/Imagine Dragons/Smoke_Mirrors/05.-I Bet My Life.flac,hombre,Imagine Dragons,Smoke_Mirrors,05.-I Bet My Life,/audio/hombre/Imagine Dragons/Smoke_Mirrors,194.2
/audio/hombre/Imagine Dragons/Smoke_Mirrors/06.-Polaroid.flac,hombre,Imagine Dragons,Smoke_Mirrors,06.-Polaroid,/audio/hombre/Imagine Dragons/Smoke_Mirrors,231.13333333333333
/audio/hombre/Imagine Dragons/Smoke_Mirrors/07.-Friction.flac,hombre,Imagine Dragons,Smoke_Mirrors,07.-Friction,/audio/hombre/Imagine Dragons/Smoke_Mirrors,201.8
/audio/hombre/Imagine Dragons/Smoke_Mirrors/08.-It Comes Back To You.flac,hombre,Imagine Dragons,Smoke_Mirrors,08.-It Comes Back To You,/audio/hombre/Imagine Dragons/Smoke_Mirrors,217.4
/audio/hombre/Imagine Dragons/Smoke_Mirrors/09.-Dream.flac,hombre,Imagine Dragons,Smoke_Mirrors,09.-Dream,/audio/hombre/Imagine Dragons/Smoke_Mirrors,258.9866666666667
/audio/hombre/Imagine Dragons/Smoke_Mirrors/10.-Trouble.flac,hombre,Imagine Dragons,Smoke_Mirrors,10.-Trouble,/audio/hombre/Imagine Dragons/Smoke_Mirrors,192.74666666666667
/audio/hombre/Imagine Dragons/Smoke_Mirrors/11.-Summer.flac,hombre,Imagine Dragons,Smoke_Mirrors,11.-Summer,/audio/hombre/Imagine Dragons/Smoke_Mirrors,218.28
/audio/hombre/Imagine Dragons/Smoke_Mirrors/12.-Hopeless Opus.flac,hombre,Imagine Dragons,Smoke_Mirrors,12.-Hopeless Opus,/audio/hombre/Imagine Dragons/Smoke_Mirrors,241.81333333333333
/audio/hombre/Imagine Dragons/Smoke_Mirrors/13.-The Fall.flac,hombre,Imagine Dragons,Smoke_Mirrors,13.-The Fall,/audio/hombre/Imagine Dragons/Smoke_Mirrors,362.46666666666664
/audio/hombre/Imagine Dragons/Smoke_Mirrors/14.-Thief.flac,hombre,Imagine Dragons,Smoke_Mirrors,14.-Thief,/audio/hombre/Imagine Dragons/Smoke_Mirrors,227.62666666666667
/audio/hombre/Imagine Dragons/Smoke_Mirrors/15.-The Unknown.flac,hombre,Imagine Dragons,Smoke_Mirrors,15.-The Unknown,/audio/hombre/Imagine Dragons/Smoke_Mirrors,204.70666666666668
/audio/hombre/Imagine Dragons/Smoke_Mirrors/16.-Second Chances.flac,hombre,Imagine Dragons,Smoke_Mirrors,16.-Second Chances,/audio/hombre/Imagine Dragons/Smoke_Mirrors,217.93333333333334
/audio/hombre/Imagine Dragons/Smoke_Mirrors/17.-Release.flac,hombre,Imagine Dragons,Smoke_Mirrors,17.-Release,/audio/hombre/Imagine Dragons/Smoke_Mirrors,149.22666666666666
/audio/hombre/Imagine Dragons/Smoke_Mirrors/18.-Warriors.flac,hombre,Imagine Dragons,Smoke_Mirrors,18.-Warriors,/audio/hombre/Imagine Dragons/Smoke_Mirrors,171.08
/audio/hombre/Imagine Dragons/Smoke_Mirrors/19.-Battle Cry.flac,hombre,Imagine Dragons,Smoke_Mirrors,19.-Battle Cry,/audio/hombre/Imagine Dragons/Smoke_Mirrors,274.3066666666667
/audio/hombre/Imagine Dragons/Smoke_Mirrors/20.-Monster.flac,hombre,Imagine Dragons,Smoke_Mirrors,20.-Monster,/audio/hombre/Imagine Dragons/Smoke_Mirrors,250.50666666666666
/audio/hombre/Imagine Dragons/Smoke_Mirrors/21.-Who We Are.flac,hombre,Imagine Dragons,Smoke_Mirrors,21.-Who We Are,/audio/hombre/Imagine Dragons/Smoke_Mirrors,249.58666666666667
/audio/hombre/Metallica/1983 - Kill ’Em All/01. Hit The Lights.flac,hombre,Metallica,1983 - Kill ’Em All,01. Hit The Lights,/audio/hombre/Metallica/1983 - Kill ’Em All,257.02666666666664
/audio/hombre/Metallica/1983 - Kill ’Em All/02. The Four Horsemen.flac,hombre,Metallica,1983 - Kill ’Em All,02. The Four Horsemen,/audio/hombre/Metallica/1983 - Kill ’Em All,433.1066666666667
/audio/hombre/Metallica/1983 - Kill ’Em All/03. Motorbreath.flac,hombre,Metallica,1983 - Kill ’Em All,03. Motorbreath,/audio/hombre/Metallica/1983 - Kill ’Em All,188.33333333333334
/audio/hombre/Metallica/1983 - Kill ’Em All/04. Jump In The Fire.flac,hombre,Metallica,1983 - Kill ’Em All,04. Jump In The Fire,/audio/hombre/Metallica/1983 - Kill ’Em All,281.6
/audio/hombre/Metallica/1983 - Kill ’Em All/05. (Anesthesia) – Pulling Teeth.flac,hombre,Metallica,1983 - Kill ’Em All,05. (Anesthesia) – Pulling Teeth,/audio/hombre/Metallica/1983 - Kill ’Em All,254.76
/audio/hombre/Metallica/1983 - Kill ’Em All/06. Whiplash.flac,hombre,Metallica,1983 - Kill ’Em All,06. Whiplash,/audio/hombre/Metallica/1983 - Kill ’Em All,250.70666666666668
/audio/hombre/Metallica/1983 - Kill ’Em All/07. Phantom Lord.flac,hombre,Metallica,1983 - Kill ’Em All,07. Phantom Lord,/audio/hombre/Metallica/1983 - Kill ’Em All,302.02666666666664
/audio/hombre/Metallica/1983 - Kill ’Em All/08. No Remorse.flac,hombre,Metallica,1983 - Kill ’Em All,08. No Remorse,/audio/hombre/Metallica/1983 - Kill ’Em All,386.6666666666667
/audio/hombre/Metallica/1983 - Kill ’Em All/09. Seek & Destroy.flac,hombre,Metallica,1983 - Kill ’Em All,09. Seek & Destroy,/audio/hombre/Metallica/1983 - Kill ’Em All,415.1066666666667
/audio/hombre/Metallica/1983 - Kill ’Em All/10. Metal Militia.flac,hombre,Metallica,1983 - Kill ’Em All,10. Metal Militia,/audio/hombre/Metallica/1983 - Kill ’Em All,311.0
/audio/hombre/Metallica/1983 - Kill ’Em All/11. Am I Evil_.flac,hombre,Metallica,1983 - Kill ’Em All,11. Am I Evil_,/audio/hombre/Metallica/1983 - Kill ’Em All,471.8666666666667
/audio/hombre/Metallica/1983 - Kill ’Em All/12. Blitzkrieg.flac,hombre,Metallica,1983 - Kill ’Em All,12. Blitzkrieg,/audio/hombre/Metallica/1983 - Kill ’Em All,215.53333333333333
/audio/hombre/Metallica/1984 - Ride The Lightning/01. Fight Fire With Fire.flac,hombre,Metallica,1984 - Ride The Lightning,01. Fight Fire With Fire,/audio/hombre/Metallica/1984 - Ride The Lightning,284.73333333333335
/audio/hombre/Metallica/1984 - Ride The Lightning/02. Ride The Lightning.flac,hombre,Metallica,1984 - Ride The Lightning,02. Ride The Lightning,/audio/hombre/Metallica/1984 - Ride The Lightning,397.6
/audio/hombre/Metallica/1984 - Ride The Lightning/03. For Whom The Bell Tolls.flac,hombre,Metallica,1984 - Ride The Lightning,03. For Whom The Bell Tolls,/audio/hombre/Metallica/1984 - Ride The Lightning,311.4266666666667
/audio/hombre/Metallica/1984 - Ride The Lightning/04. Fade To Black.flac,hombre,Metallica,1984 - Ride The Lightning,04. Fade To Black,/audio/hombre/Metallica/1984 - Ride The Lightning,413.04
/audio/hombre/Metallica/1984 - Ride The Lightning/05. Trapped Under Ice.flac,hombre,Metallica,1984 - Ride The Lightning,05. Trapped Under Ice,/audio/hombre/Metallica/1984 - Ride The Lightning,244.36
/audio/hombre/Metallica/1984 - Ride The Lightning/06. Escape.flac,hombre,Metallica,1984 - Ride The Lightning,06. Escape,/audio/hombre/Metallica/1984 - Ride The Lightning,264.1333333333333
/audio/hombre/Metallica/1984 - Ride The Lightning/07. Creeping Death.flac,hombre,Metallica,1984 - Ride The Lightning,07. Creeping Death,/audio/hombre/Metallica/1984 - Ride The Lightning,396.70666666666665
/audio/hombre/Metallica/1984 - Ride The Lightning/08. The Call Of Ktulu.flac,hombre,Metallica,1984 - Ride The Lightning,08. The Call Of Ktulu,/audio/hombre/Metallica/1984 - Ride The Lightning,533.9333333333333
/audio/hombre/Metallica/1986 - Master Of Puppets/01. Battery.flac,hombre,Metallica,1986 - Master Of Puppets,01. Battery,/audio/hombre/Metallica/1986 - Master Of Puppets,312.73333333333335
/audio/hombre/Metallica/1986 - Master Of Puppets/02. Master Of Puppets.flac,hombre,Metallica,1986 - Master Of Puppets,02. Master Of Puppets,/audio/hombre/Metallica/1986 - Master Of Puppets,514.8
/audio/hombre/Metallica/1986 - Master Of Puppets/03. The Thing That Should Not Be.flac,hombre,Metallica,1986 - Master Of Puppets,03. The Thing That Should Not Be,/audio/hombre/Metallica/1986 - Master Of Puppets,396.29333333333335
/audio/hombre/Metallica/1986 - Master Of Puppets/04. Welcome Home (Sanitarium).flac,hombre,Metallica,1986 - Master Of Puppets,04. Welcome Home (Sanitarium),/audio/hombre/Metallica/1986 - Master Of Puppets,387.24
/audio/hombre/Metallica/1986 - Master Of Puppets/05. Disposable Heroes.flac,hombre,Metallica,1986 - Master Of Puppets,05. Disposable Heroes,/audio/hombre/Metallica/1986 - Master Of Puppets,496.6
/audio/hombre/Metallica/1986 - Master Of Puppets/06. Leper Messiah.flac,hombre,Metallica,1986 - Master Of Puppets,06. Leper Messiah,/audio/hombre/Metallica/1986 - Master Of Puppets,340.16
/audio/hombre/Metallica/1986 - Master Of Puppets/07. Orion.flac,hombre,Metallica,1986 - Master Of Puppets,07. Orion,/audio/hombre/Metallica/1986 - Master Of Puppets,507.17333333333335
"/audio/hombre/Metallica/1986 - Master Of Puppets/08. Damage, Inc..flac",hombre,Metallica,1986 - Master Of Puppets,"08. Damage, Inc.",/audio/hombre/Metallica/1986 - Master Of Puppets,331.82666666666665
/audio/hombre/Metallica/1991 - Open Graves/01. Enter Sandman.flac,hombre,Metallica,1991 - Open Graves,01. Enter Sandman,/audio/hombre/Metallica/1991 - Open Graves,326.5733333333333
/audio/hombre/Metallica/1991 - Open Graves/02. Creeping Death.flac,hombre,Metallica,1991 - Open Graves,02. Creeping Death,/audio/hombre/Metallica/1991 - Open Graves,468.6933333333333
/audio/hombre/Metallica/1991 - Open Graves/03. Harvester Of Sorrow.flac,hombre,Metallica,1991 - Open Graves,03. Harvester Of Sorrow,/audio/hombre/Metallica/1991 - Open Graves,402.9066666666667
/audio/hombre/Metallica/1991 - Open Graves/04. Fade To Black.flac,hombre,Metallica,1991 - Open Graves,04. Fade To Black,/audio/hombre/Metallica/1991 - Open Graves,476.4
/audio/hombre/Metallica/1991 - Open Graves/05. Sad But True.flac,hombre,Metallica,1991 - Open Graves,05. Sad But True,/audio/hombre/Metallica/1991 - Open Graves,370.0
/audio/hombre/Metallica/1991 - Open Graves/06. Master Of Puppets.flac,hombre,Metallica,1991 - Open Graves,06. Master Of Puppets,/audio/hombre/Metallica/1991 - Open Graves,238.49333333333334
/audio/hombre/Metallica/1991 - Open Graves/07. Seek & Destroy.flac,hombre,Metallica,1991 - Open Graves,07. Seek & Destroy,/audio/hombre/Metallica/1991 - Open Graves,480.70666666666665
/audio/hombre/Metallica/1991 - Open Graves/08. For Whom The Bell Tolls.flac,hombre,Metallica,1991 - Open Graves,08. For Whom The Bell Tolls,/audio/hombre/Metallica/1991 - Open Graves,327.26666666666665
/audio/hombre/Metallica/1991 - Open Graves/09. One.flac,hombre,Metallica,1991 - Open Graves,09. One,/audio/hombre/Metallica/1991 - Open Graves,462.8666666666667
/audio/hombre/Metallica/1991 - Open Graves/10. Whiplash.flac,hombre,Metallica,1991 - Open Graves,10. Whiplash,/audio/hombre/Metallica/1991 - Open Graves,338.93333333333334
/audio/hombre/Metallica/1991 - Open Graves/11. Last Caress.flac,hombre,Metallica,1991 - Open Graves,11. Last Caress,/audio/hombre/Metallica/1991 - Open Graves,163.73333333333332
/audio/hombre/Metallica/1991 - Open Graves/12. Am I Evil_ _ Battery.flac,hombre,Metallica,1991 - Open Graves,12. Am I Evil_ _ Battery,/audio/hombre/Metallica/1991 - Open Graves,621.0
/audio/hombre/Metallica/1993 - Heavy Best/01. The Four Horsemen.flac,hombre,Metallica,1993 - Heavy Best,01. The Four Horsemen,/audio/hombre/Metallica/1993 - Heavy Best,434.2
