artist,MFI,album,song,original_path,original_file,16k_path,16k_file,sample_full
Ariana Grande,mujer,My Everything,12. My Everything,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/12. My Everything.flac,..\data\masterDS,..\data\masterDS\12. My Everything9.flac,sample
Ariana Grande,mujer,k bye for now (swt live),12. breathin (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/12. breathin (live).flac,..\data\masterDS,..\data\masterDS\12. breathin (live)11.flac,sample
Ariana Grande,mujer,k bye for now (swt live),20. tattooed heart (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/20. tattooed heart (live).flac,..\data\masterDS,..\data\masterDS\20. tattooed heart (live)4.flac,sample
Ariana Grande,mujer,Sweetener,11. borderline,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/11. borderline.flac,..\data\masterDS,..\data\masterDS\11. borderline4.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande & Rain On Me (Purple Disco Machine Remix - Edit),/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande & Rain On Me (Purple Disco Machine Remix - Edit).flac,..\data\masterDS,..\data\masterDS\Ariana Grande & Rain On Me (Purple Disco Machine Remix - Edit)11.flac,sample
Ariana Grande,mujer,Sweetener,15. get well soon,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/15. get well soon.flac,..\data\masterDS,..\data\masterDS\15. get well soon10.flac,sample
Ariana Grande,mujer,Sweetener,03. the light is coming,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/03. the light is coming.flac,..\data\masterDS,..\data\masterDS\03. the light is coming16.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),05. Side To Side,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/05. Side To Side.flac,..\data\masterDS,..\data\masterDS\05. Side To Side16.flac,sample
Ariana Grande,mujer,Yours Truly,04. Tattooed Heart,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/04. Tattooed Heart.flac,..\data\masterDS,..\data\masterDS\04. Tattooed Heart9.flac,sample
Ariana Grande,mujer,Dangerous Woman,14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy26.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande & Rain On Me (Ralphi Rosario Remix),/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande & Rain On Me (Ralphi Rosario Remix).flac,..\data\masterDS,..\data\masterDS\Ariana Grande & Rain On Me (Ralphi Rosario Remix)7.flac,sample
Ariana Grande,mujer,Dangerous Woman,02. Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/02. Dangerous Woman.flac,..\data\masterDS,..\data\masterDS\02. Dangerous Woman2.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande & Rain On Me (Purple Disco Machine Remix),/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande & Rain On Me (Purple Disco Machine Remix).flac,..\data\masterDS,..\data\masterDS\Ariana Grande & Rain On Me (Purple Disco Machine Remix)30.flac,sample
Ariana Grande,mujer,Brand New You (From 13),02. A Little More Homework (feat. Graham Phillips) (Single Version),/audio/mujer/Ariana Grande/Brand New You (From 13),/audio/mujer/Ariana Grande/Brand New You (From 13)/02. A Little More Homework (feat. Graham Phillips) (Single Version).flac,..\data\masterDS,..\data\masterDS\02. A Little More Homework (feat. Graham Phillips) (Single Version)10.flac,sample
Ariana Grande,mujer,Positions (Deluxe),17. 34+35 (Remix),/audio/mujer/Ariana Grande/Positions (Deluxe),/audio/mujer/Ariana Grande/Positions (Deluxe)/17. 34+35 (Remix).flac,..\data\masterDS,..\data\masterDS\17. 34+35 (Remix)7.flac,sample
Ariana Grande,mujer,Side To Side (Remixes),02. Side To Side (Phantoms Remix),/audio/mujer/Ariana Grande/Side To Side (Remixes),/audio/mujer/Ariana Grande/Side To Side (Remixes)/02. Side To Side (Phantoms Remix).flac,..\data\masterDS,..\data\masterDS\02. Side To Side (Phantoms Remix)14.flac,sample
Ariana Grande,mujer,k bye for now (swt live),03. bad idea (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/03. bad idea (live).flac,..\data\masterDS,..\data\masterDS\03. bad idea (live)5.flac,sample
Ariana Grande,mujer,Positions,07. safety net,/audio/mujer/Ariana Grande/Positions,/audio/mujer/Ariana Grande/Positions/07. safety net.flac,..\data\masterDS,..\data\masterDS\07. safety net14.flac,sample
Ariana Grande,mujer,Yours Truly,02. Baby I,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/02. Baby I.flac,..\data\masterDS,..\data\masterDS\02. Baby I12.flac,sample
Ariana Grande,mujer,Dangerous Woman,02. Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/02. Dangerous Woman.flac,..\data\masterDS,..\data\masterDS\02. Dangerous Woman21.flac,sample
Ariana Grande,mujer,Dangerous Woman,17. Jason's Song (Gave It Away),/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/17. Jason's Song (Gave It Away).flac,..\data\masterDS,..\data\masterDS\17. Jason's Song (Gave It Away)9.flac,sample
Ariana Grande,mujer,k bye for now (swt live),23. get well soon (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/23. get well soon (live).flac,..\data\masterDS,..\data\masterDS\23. get well soon (live)14.flac,sample
Ariana Grande,mujer,Christmas Kisses,01. Last Christmas,/audio/mujer/Ariana Grande/Christmas Kisses,/audio/mujer/Ariana Grande/Christmas Kisses/01. Last Christmas.flac,..\data\masterDS,..\data\masterDS\01. Last Christmas4.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),06. Let Me Love You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/06. Let Me Love You.flac,..\data\masterDS,..\data\masterDS\06. Let Me Love You16.flac,sample
Ariana Grande,mujer,Positions (Deluxe),11. love language,/audio/mujer/Ariana Grande/Positions (Deluxe),/audio/mujer/Ariana Grande/Positions (Deluxe)/11. love language.flac,..\data\masterDS,..\data\masterDS\11. love language3.flac,sample
Ariana Grande,mujer,Positions,03. motive,/audio/mujer/Ariana Grande/Positions,/audio/mujer/Ariana Grande/Positions/03. motive.flac,..\data\masterDS,..\data\masterDS\03. motive11.flac,sample
Ariana Grande,mujer,k bye for now (swt live),09. side to side (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/09. side to side (live).flac,..\data\masterDS,..\data\masterDS\09. side to side (live)17.flac,sample
Ariana Grande,mujer,k bye for now (swt live),"04. break up with your girlfriend, i'm bored (live)",/audio/mujer/Ariana Grande/k bye for now (swt live),"/audio/mujer/Ariana Grande/k bye for now (swt live)/04. break up with your girlfriend, i'm bored (live).flac",..\data\masterDS,"..\data\masterDS\04. break up with your girlfriend, i'm bored (live)9.flac",sample
Ariana Grande,mujer,Singles,Ariana Grande - Into You (3LAU Remix),/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande - Into You (3LAU Remix).flac,..\data\masterDS,..\data\masterDS\Ariana Grande - Into You (3LAU Remix)13.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),05. Side To Side,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/05. Side To Side.flac,..\data\masterDS,..\data\masterDS\05. Side To Side19.flac,sample
Ariana Grande,mujer,k bye for now (swt live),28. my heart belongs to daddy (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/28. my heart belongs to daddy (live).flac,..\data\masterDS,..\data\masterDS\28. my heart belongs to daddy (live)5.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),02. Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/02. Dangerous Woman.flac,..\data\masterDS,..\data\masterDS\02. Dangerous Woman22.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),15. Thinking Bout You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/15. Thinking Bout You.flac,..\data\masterDS,..\data\masterDS\15. Thinking Bout You3.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),07. Greedy,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/07. Greedy.flac,..\data\masterDS,..\data\masterDS\07. Greedy14.flac,sample
Ariana Grande,mujer,Dangerous Woman,07. Greedy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/07. Greedy.flac,..\data\masterDS,..\data\masterDS\07. Greedy2.flac,sample
Ariana Grande,mujer,Dangerous Woman,11. I Don't Care,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/11. I Don't Care.flac,..\data\masterDS,..\data\masterDS\11. I Don't Care4.flac,sample
Ariana Grande,mujer,Christmas & Chill,05. True Love,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/05. True Love.flac,..\data\masterDS,..\data\masterDS\05. True Love8.flac,sample
Ariana Grande,mujer,My Everything,02. Problem,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/02. Problem.flac,..\data\masterDS,..\data\masterDS\02. Problem6.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande - Put Your Hearts Up,/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande - Put Your Hearts Up.flac,..\data\masterDS,..\data\masterDS\Ariana Grande - Put Your Hearts Up20.flac,sample
Ariana Grande,mujer,Sweetener,12. better off,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/12. better off.flac,..\data\masterDS,..\data\masterDS\12. better off16.flac,sample
Ariana Grande,mujer,Positions (Deluxe),06. six thirty,/audio/mujer/Ariana Grande/Positions (Deluxe),/audio/mujer/Ariana Grande/Positions (Deluxe)/06. six thirty.flac,..\data\masterDS,..\data\masterDS\06. six thirty2.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande & Idina Menzel - A Hand For Mrs. Claus,/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande & Idina Menzel - A Hand For Mrs. Claus.flac,..\data\masterDS,..\data\masterDS\Ariana Grande & Idina Menzel - A Hand For Mrs. Claus11.flac,sample
Ariana Grande,mujer,Dangerous Woman,14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy23.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),06. Let Me Love You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/06. Let Me Love You.flac,..\data\masterDS,..\data\masterDS\06. Let Me Love You6.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),01. Moonlight,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/01. Moonlight.flac,..\data\masterDS,..\data\masterDS\01. Moonlight7.flac,sample
Ariana Grande,mujer,My Everything (Deluxe),04. Why Try,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/04. Why Try.flac,..\data\masterDS,..\data\masterDS\04. Why Try4.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande - Stuck with U,/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande - Stuck with U.flac,..\data\masterDS,..\data\masterDS\Ariana Grande - Stuck with U17.flac,sample
Ariana Grande,mujer,k bye for now (swt live),12. breathin (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/12. breathin (live).flac,..\data\masterDS,..\data\masterDS\12. breathin (live)10.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande - Put Your Hearts Up,/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande - Put Your Hearts Up.flac,..\data\masterDS,..\data\masterDS\Ariana Grande - Put Your Hearts Up14.flac,sample
Ariana Grande,mujer,k bye for now (swt live),09. side to side (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/09. side to side (live).flac,..\data\masterDS,..\data\masterDS\09. side to side (live)19.flac,sample
Ariana Grande,mujer,Positions,09. nasty,/audio/mujer/Ariana Grande/Positions,/audio/mujer/Ariana Grande/Positions/09. nasty.flac,..\data\masterDS,..\data\masterDS\09. nasty4.flac,sample
Ariana Grande,mujer,Positions (Deluxe),04. just like magic,/audio/mujer/Ariana Grande/Positions (Deluxe),/audio/mujer/Ariana Grande/Positions (Deluxe)/04. just like magic.flac,..\data\masterDS,..\data\masterDS\04. just like magic4.flac,sample
Ariana Grande,mujer,Dangerous Woman (Edited),14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy24.flac,sample
Ariana Grande,mujer,k bye for now (swt live),13. needy (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/13. needy (live).flac,..\data\masterDS,..\data\masterDS\13. needy (live)3.flac,sample
Ariana Grande,mujer,"thank u, next",08. ghostin,"/audio/mujer/Ariana Grande/thank u, next","/audio/mujer/Ariana Grande/thank u, next/08. ghostin.flac",..\data\masterDS,..\data\masterDS\08. ghostin1.flac,sample
Ariana Grande,mujer,Positions (Deluxe),07. safety net,/audio/mujer/Ariana Grande/Positions (Deluxe),/audio/mujer/Ariana Grande/Positions (Deluxe)/07. safety net.flac,..\data\masterDS,..\data\masterDS\07. safety net20.flac,sample
Ariana Grande,mujer,"thank u, next",06. bad idea,"/audio/mujer/Ariana Grande/thank u, next","/audio/mujer/Ariana Grande/thank u, next/06. bad idea.flac",..\data\masterDS,..\data\masterDS\06. bad idea16.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande - Into You (Alex Ghenea Remix),/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande - Into You (Alex Ghenea Remix).flac,..\data\masterDS,..\data\masterDS\Ariana Grande - Into You (Alex Ghenea Remix)17.flac,sample
Ariana Grande,mujer,Sweetener,15. get well soon,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/15. get well soon.flac,..\data\masterDS,..\data\masterDS\15. get well soon9.flac,sample
Ariana Grande,mujer,Dangerous Woman,05. Side To Side,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/05. Side To Side.flac,..\data\masterDS,..\data\masterDS\05. Side To Side13.flac,sample
Ariana Grande,mujer,Sweetener,05. God is a woman,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/05. God is a woman.flac,..\data\masterDS,..\data\masterDS\05. God is a woman13.flac,sample
Ariana Grande,mujer,"thank u, next",09. in my head,"/audio/mujer/Ariana Grande/thank u, next","/audio/mujer/Ariana Grande/thank u, next/09. in my head.flac",..\data\masterDS,..\data\masterDS\09. in my head3.flac,sample
Ariana Grande,mujer,Dangerous Woman,14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy13.flac,sample
Ariana Grande,mujer,k bye for now (swt live),08. successful (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/08. successful (live).flac,..\data\masterDS,..\data\masterDS\08. successful (live)11.flac,sample
Ariana Grande,mujer,Problem,03. Problem,/audio/mujer/Ariana Grande/Problem,/audio/mujer/Ariana Grande/Problem/03. Problem.flac,..\data\masterDS,..\data\masterDS\03. Problem18.flac,sample
Ariana Grande,mujer,Yours Truly,03. Right There,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/03. Right There.flac,..\data\masterDS,..\data\masterDS\03. Right There20.flac,sample
Ariana Grande,mujer,Dangerous Woman,07. Greedy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/07. Greedy.flac,..\data\masterDS,..\data\masterDS\07. Greedy18.flac,sample
Ariana Grande,mujer,Yours Truly,05. Lovin' It,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/05. Lovin' It.flac,..\data\masterDS,..\data\masterDS\05. Lovin' It18.flac,sample
Ariana Grande,mujer,Yours Truly,07. Daydreamin',/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/07. Daydreamin'.flac,..\data\masterDS,..\data\masterDS\07. Daydreamin'2.flac,sample
Ariana Grande,mujer,Positions,06. six thirty,/audio/mujer/Ariana Grande/Positions,/audio/mujer/Ariana Grande/Positions/06. six thirty.flac,..\data\masterDS,..\data\masterDS\06. six thirty2.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande - Stuck with U,/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande - Stuck with U.flac,..\data\masterDS,..\data\masterDS\Ariana Grande - Stuck with U14.flac,sample
Ariana Grande,mujer,Yours Truly,02. Baby I,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/02. Baby I.flac,..\data\masterDS,..\data\masterDS\02. Baby I6.flac,sample
Ariana Grande,mujer,Positions (Deluxe),18. worst behavior,/audio/mujer/Ariana Grande/Positions (Deluxe),/audio/mujer/Ariana Grande/Positions (Deluxe)/18. worst behavior.flac,..\data\masterDS,..\data\masterDS\18. worst behavior8.flac,sample
Ariana Grande,mujer,Sweetener,09. breathin,/audio/mujer/Ariana Grande/Sweetener,/audio/mujer/Ariana Grande/Sweetener/09. breathin.flac,..\data\masterDS,..\data\masterDS\09. breathin15.flac,sample
Ariana Grande,mujer,k bye for now (swt live),18. break your heart right back (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/18. break your heart right back (live).flac,..\data\masterDS,..\data\masterDS\18. break your heart right back (live)1.flac,sample
Ariana Grande,mujer,Singles,Ariana Grande & Rain On Me (Ralphi Rosario Remix),/audio/mujer/Ariana Grande/Singles,/audio/mujer/Ariana Grande/Singles/Ariana Grande & Rain On Me (Ralphi Rosario Remix).flac,..\data\masterDS,..\data\masterDS\Ariana Grande & Rain On Me (Ralphi Rosario Remix)15.flac,sample
Ariana Grande,mujer,Dangerous Woman,14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy21.flac,sample
Ariana Grande,mujer,Dangerous Woman,02. Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/02. Dangerous Woman.flac,..\data\masterDS,..\data\masterDS\02. Dangerous Woman20.flac,sample
Ariana Grande,mujer,k bye for now (swt live),18. break your heart right back (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/18. break your heart right back (live).flac,..\data\masterDS,..\data\masterDS\18. break your heart right back (live)8.flac,sample
Ariana Grande,mujer,k bye for now (swt live),24. in my head interlude (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/24. in my head interlude (live).flac,..\data\masterDS,..\data\masterDS\24. in my head interlude (live)11.flac,sample
Ariana Grande,mujer,k bye for now (swt live),20. tattooed heart (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/20. tattooed heart (live).flac,..\data\masterDS,..\data\masterDS\20. tattooed heart (live)11.flac,sample
Ariana Grande,mujer,Yours Truly,09. You’ll Never Know,/audio/mujer/Ariana Grande/Yours Truly,/audio/mujer/Ariana Grande/Yours Truly/09. You’ll Never Know.flac,..\data\masterDS,..\data\masterDS\09. You’ll Never Know8.flac,sample
Ariana Grande,mujer,Christmas & Chill,06. Winter Things,/audio/mujer/Ariana Grande/Christmas & Chill,/audio/mujer/Ariana Grande/Christmas & Chill/06. Winter Things.flac,..\data\masterDS,..\data\masterDS\06. Winter Things6.flac,sample
Ariana Grande,mujer,Side To Side (Remixes),02. Side To Side (Phantoms Remix),/audio/mujer/Ariana Grande/Side To Side (Remixes),/audio/mujer/Ariana Grande/Side To Side (Remixes)/02. Side To Side (Phantoms Remix).flac,..\data\masterDS,..\data\masterDS\02. Side To Side (Phantoms Remix)25.flac,sample
Ariana Grande,mujer,My Everything (Deluxe),08. Break Your Heart Right Back,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/08. Break Your Heart Right Back.flac,..\data\masterDS,..\data\masterDS\08. Break Your Heart Right Back1.flac,sample
