,MFI,artist,album,song,original_path,original_file,16k_path,16k_file,sample_full
302,mujer,Ariana Grande,Dangerous Woman,05. Side To Side,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/05. Side To Side.flac,..\data\masterDS,..\data\masterDS\05. Side To Side0.flac,full
325,mujer,Ariana Grande,Dangerous Woman,06. Let Me Love You,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/06. Let Me Love You.flac,..\data\masterDS,..\data\masterDS\06. Let Me Love You0.flac,full
348,mujer,Ariana Grande,Dangerous Woman,07. Greedy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/07. Greedy.flac,..\data\masterDS,..\data\masterDS\07. Greedy0.flac,full
370,mujer,Ariana Grande,Dangerous Woman,08. Leave Me Lonely,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/08. Leave Me Lonely.flac,..\data\masterDS,..\data\masterDS\08. Leave Me Lonely0.flac,full
393,mujer,Ariana Grande,Dangerous Woman,09. Everyday,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/09. Everyday.flac,..\data\masterDS,..\data\masterDS\09. Everyday0.flac,full
413,mujer,Ariana Grande,Dangerous Woman,10. Sometimes,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/10. Sometimes.flac,..\data\masterDS,..\data\masterDS\10. Sometimes0.flac,full
436,mujer,Ariana Grande,Dangerous Woman,11. I Don't Care,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/11. I Don't Care.flac,..\data\masterDS,..\data\masterDS\11. I Don't Care0.flac,full
454,mujer,Ariana Grande,Dangerous Woman,12. Bad Decisions,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/12. Bad Decisions.flac,..\data\masterDS,..\data\masterDS\12. Bad Decisions0.flac,full
477,mujer,Ariana Grande,Dangerous Woman,13. Touch It,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/13. Touch It.flac,..\data\masterDS,..\data\masterDS\13. Touch It0.flac,full
504,mujer,Ariana Grande,Dangerous Woman,14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy0.flac,full
534,mujer,Ariana Grande,Dangerous Woman,15. Thinking Bout You,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/15. Thinking Bout You.flac,..\data\masterDS,..\data\masterDS\15. Thinking Bout You0.flac,full
555,mujer,Ariana Grande,Dangerous Woman,16. Step On Up,/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/16. Step On Up.flac,..\data\masterDS,..\data\masterDS\16. Step On Up0.flac,full
574,mujer,Ariana Grande,Dangerous Woman,17. Jason's Song (Gave It Away),/audio/mujer/Ariana Grande/Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman/17. Jason's Song (Gave It Away).flac,..\data\masterDS,..\data\masterDS\17. Jason's Song (Gave It Away)0.flac,full
601,mujer,Ariana Grande,Dangerous Woman (Edited),01. Moonlight,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/01. Moonlight.flac,..\data\masterDS,..\data\masterDS\01. Moonlight0.flac,full
622,mujer,Ariana Grande,Dangerous Woman (Edited),02. Dangerous Woman,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/02. Dangerous Woman.flac,..\data\masterDS,..\data\masterDS\02. Dangerous Woman0.flac,full
646,mujer,Ariana Grande,Dangerous Woman (Edited),03. Be Alright,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/03. Be Alright.flac,..\data\masterDS,..\data\masterDS\03. Be Alright0.flac,full
664,mujer,Ariana Grande,Dangerous Woman (Edited),04. Into You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/04. Into You.flac,..\data\masterDS,..\data\masterDS\04. Into You0.flac,full
689,mujer,Ariana Grande,Dangerous Woman (Edited),05. Side To Side,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/05. Side To Side.flac,..\data\masterDS,..\data\masterDS\05. Side To Side0.flac,full
712,mujer,Ariana Grande,Dangerous Woman (Edited),06. Let Me Love You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/06. Let Me Love You.flac,..\data\masterDS,..\data\masterDS\06. Let Me Love You0.flac,full
735,mujer,Ariana Grande,Dangerous Woman (Edited),07. Greedy,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/07. Greedy.flac,..\data\masterDS,..\data\masterDS\07. Greedy0.flac,full
757,mujer,Ariana Grande,Dangerous Woman (Edited),08. Leave Me Lonely,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/08. Leave Me Lonely.flac,..\data\masterDS,..\data\masterDS\08. Leave Me Lonely0.flac,full
780,mujer,Ariana Grande,Dangerous Woman (Edited),09. Everyday,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/09. Everyday.flac,..\data\masterDS,..\data\masterDS\09. Everyday0.flac,full
800,mujer,Ariana Grande,Dangerous Woman (Edited),10. Sometimes,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/10. Sometimes.flac,..\data\masterDS,..\data\masterDS\10. Sometimes0.flac,full
823,mujer,Ariana Grande,Dangerous Woman (Edited),11. I Don't Care,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/11. I Don't Care.flac,..\data\masterDS,..\data\masterDS\11. I Don't Care0.flac,full
841,mujer,Ariana Grande,Dangerous Woman (Edited),12. Bad Decisions,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/12. Bad Decisions.flac,..\data\masterDS,..\data\masterDS\12. Bad Decisions0.flac,full
864,mujer,Ariana Grande,Dangerous Woman (Edited),13. Touch It,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/13. Touch It.flac,..\data\masterDS,..\data\masterDS\13. Touch It0.flac,full
891,mujer,Ariana Grande,Dangerous Woman (Edited),14. Knew Better _ Forever Boy,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/14. Knew Better _ Forever Boy.flac,..\data\masterDS,..\data\masterDS\14. Knew Better _ Forever Boy0.flac,full
921,mujer,Ariana Grande,Dangerous Woman (Edited),15. Thinking Bout You,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/15. Thinking Bout You.flac,..\data\masterDS,..\data\masterDS\15. Thinking Bout You0.flac,full
942,mujer,Ariana Grande,Dangerous Woman (Edited),16. Step On Up,/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/16. Step On Up.flac,..\data\masterDS,..\data\masterDS\16. Step On Up0.flac,full
961,mujer,Ariana Grande,Dangerous Woman (Edited),17. Jason's Song (Gave It Away),/audio/mujer/Ariana Grande/Dangerous Woman (Edited),/audio/mujer/Ariana Grande/Dangerous Woman (Edited)/17. Jason's Song (Gave It Away).flac,..\data\masterDS,..\data\masterDS\17. Jason's Song (Gave It Away)0.flac,full
988,mujer,Ariana Grande,k bye for now (swt live),01. raindrops (an angel cried) (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/01. raindrops (an angel cried) (live).flac,..\data\masterDS,..\data\masterDS\01. raindrops (an angel cried) (live)0.flac,full
993,mujer,Ariana Grande,k bye for now (swt live),02. god is a woman (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/02. god is a woman (live).flac,..\data\masterDS,..\data\masterDS\02. god is a woman (live)0.flac,full
1015,mujer,Ariana Grande,k bye for now (swt live),03. bad idea (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/03. bad idea (live).flac,..\data\masterDS,..\data\masterDS\03. bad idea (live)0.flac,full
1037,mujer,Ariana Grande,k bye for now (swt live),"04. break up with your girlfriend, i'm bored (live)",/audio/mujer/Ariana Grande/k bye for now (swt live),"/audio/mujer/Ariana Grande/k bye for now (swt live)/04. break up with your girlfriend, i'm bored (live).flac",..\data\masterDS,"..\data\masterDS\04. break up with your girlfriend, i'm bored (live)0.flac",full
1060,mujer,Ariana Grande,k bye for now (swt live),05. r.e.m (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/05. r.e.m (live).flac,..\data\masterDS,..\data\masterDS\05. r.e.m (live)0.flac,full
1078,mujer,Ariana Grande,k bye for now (swt live),06. be alright (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/06. be alright (live).flac,..\data\masterDS,..\data\masterDS\06. be alright (live)0.flac,full
1096,mujer,Ariana Grande,k bye for now (swt live),07. sweetener (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/07. sweetener (live).flac,..\data\masterDS,..\data\masterDS\07. sweetener (live)0.flac,full
1114,mujer,Ariana Grande,k bye for now (swt live),08. successful (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/08. successful (live).flac,..\data\masterDS,..\data\masterDS\08. successful (live)0.flac,full
1127,mujer,Ariana Grande,k bye for now (swt live),09. side to side (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/09. side to side (live).flac,..\data\masterDS,..\data\masterDS\09. side to side (live)0.flac,full
1154,mujer,Ariana Grande,k bye for now (swt live),10. 7 rings (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/10. 7 rings (live).flac,..\data\masterDS,..\data\masterDS\10. 7 rings (live)0.flac,full
1177,mujer,Ariana Grande,k bye for now (swt live),11. love me harder (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/11. love me harder (live).flac,..\data\masterDS,..\data\masterDS\11. love me harder (live)0.flac,full
1186,mujer,Ariana Grande,k bye for now (swt live),12. breathin (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/12. breathin (live).flac,..\data\masterDS,..\data\masterDS\12. breathin (live)0.flac,full
1207,mujer,Ariana Grande,k bye for now (swt live),13. needy (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/13. needy (live).flac,..\data\masterDS,..\data\masterDS\13. needy (live)0.flac,full
1225,mujer,Ariana Grande,k bye for now (swt live),14. fake smile (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/14. fake smile (live).flac,..\data\masterDS,..\data\masterDS\14. fake smile (live)0.flac,full
1246,mujer,Ariana Grande,k bye for now (swt live),15. make up (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/15. make up (live).flac,..\data\masterDS,..\data\masterDS\15. make up (live)0.flac,full
1260,mujer,Ariana Grande,k bye for now (swt live),16. right there (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/16. right there (live).flac,..\data\masterDS,..\data\masterDS\16. right there (live)0.flac,full
1270,mujer,Ariana Grande,k bye for now (swt live),17. you'll never know (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/17. you'll never know (live).flac,..\data\masterDS,..\data\masterDS\17. you'll never know (live)0.flac,full
1279,mujer,Ariana Grande,k bye for now (swt live),18. break your heart right back (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/18. break your heart right back (live).flac,..\data\masterDS,..\data\masterDS\18. break your heart right back (live)0.flac,full
1293,mujer,Ariana Grande,k bye for now (swt live),19. nasa (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/19. nasa (live).flac,..\data\masterDS,..\data\masterDS\19. nasa (live)0.flac,full
1312,mujer,Ariana Grande,k bye for now (swt live),20. tattooed heart (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/20. tattooed heart (live).flac,..\data\masterDS,..\data\masterDS\20. tattooed heart (live)0.flac,full
1333,mujer,Ariana Grande,k bye for now (swt live),21. only 1 (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/21. only 1 (live).flac,..\data\masterDS,..\data\masterDS\21. only 1 (live)0.flac,full
1350,mujer,Ariana Grande,k bye for now (swt live),22. goodnight n go (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/22. goodnight n go (live).flac,..\data\masterDS,..\data\masterDS\22. goodnight n go (live)0.flac,full
1369,mujer,Ariana Grande,k bye for now (swt live),23. get well soon (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/23. get well soon (live).flac,..\data\masterDS,..\data\masterDS\23. get well soon (live)0.flac,full
1390,mujer,Ariana Grande,k bye for now (swt live),24. in my head interlude (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/24. in my head interlude (live).flac,..\data\masterDS,..\data\masterDS\24. in my head interlude (live)0.flac,full
1406,mujer,Ariana Grande,k bye for now (swt live),25. everytime (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/25. everytime (live).flac,..\data\masterDS,..\data\masterDS\25. everytime (live)0.flac,full
1420,mujer,Ariana Grande,k bye for now (swt live),26. the light is coming (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/26. the light is coming (live).flac,..\data\masterDS,..\data\masterDS\26. the light is coming (live)0.flac,full
1434,mujer,Ariana Grande,k bye for now (swt live),27. into you (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/27. into you (live).flac,..\data\masterDS,..\data\masterDS\27. into you (live)0.flac,full
1452,mujer,Ariana Grande,k bye for now (swt live),28. my heart belongs to daddy (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/28. my heart belongs to daddy (live).flac,..\data\masterDS,..\data\masterDS\28. my heart belongs to daddy (live)0.flac,full
1463,mujer,Ariana Grande,k bye for now (swt live),29. dangerous woman (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/29. dangerous woman (live).flac,..\data\masterDS,..\data\masterDS\29. dangerous woman (live)0.flac,full
1487,mujer,Ariana Grande,k bye for now (swt live),30. break free (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/30. break free (live).flac,..\data\masterDS,..\data\masterDS\30. break free (live)0.flac,full
1503,mujer,Ariana Grande,k bye for now (swt live),31. no tears left to cry (live),/audio/mujer/Ariana Grande/k bye for now (swt live),/audio/mujer/Ariana Grande/k bye for now (swt live)/31. no tears left to cry (live).flac,..\data\masterDS,..\data\masterDS\31. no tears left to cry (live)0.flac,full
1527,mujer,Ariana Grande,k bye for now (swt live),"32. thank u, next (live)",/audio/mujer/Ariana Grande/k bye for now (swt live),"/audio/mujer/Ariana Grande/k bye for now (swt live)/32. thank u, next (live).flac",..\data\masterDS,"..\data\masterDS\32. thank u, next (live)0.flac",full
1566,mujer,Ariana Grande,My Everything,01. Intro,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/01. Intro.flac,..\data\masterDS,..\data\masterDS\01. Intro0.flac,full
1574,mujer,Ariana Grande,My Everything,02. Problem,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/02. Problem.flac,..\data\masterDS,..\data\masterDS\02. Problem0.flac,full
1594,mujer,Ariana Grande,My Everything,03. One Last Time,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/03. One Last Time.flac,..\data\masterDS,..\data\masterDS\03. One Last Time0.flac,full
1614,mujer,Ariana Grande,My Everything,04. Why Try,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/04. Why Try.flac,..\data\masterDS,..\data\masterDS\04. Why Try0.flac,full
1636,mujer,Ariana Grande,My Everything,05. Break Free,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/05. Break Free.flac,..\data\masterDS,..\data\masterDS\05. Break Free0.flac,full
1658,mujer,Ariana Grande,My Everything,06. Best Mistake,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/06. Best Mistake.flac,..\data\masterDS,..\data\masterDS\06. Best Mistake0.flac,full
1682,mujer,Ariana Grande,My Everything,07. Be My Baby,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/07. Be My Baby.flac,..\data\masterDS,..\data\masterDS\07. Be My Baby0.flac,full
1704,mujer,Ariana Grande,My Everything,08. Break Your Heart Right Back,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/08. Break Your Heart Right Back.flac,..\data\masterDS,..\data\masterDS\08. Break Your Heart Right Back0.flac,full
1730,mujer,Ariana Grande,My Everything,09. Love Me Harder,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/09. Love Me Harder.flac,..\data\masterDS,..\data\masterDS\09. Love Me Harder0.flac,full
1754,mujer,Ariana Grande,My Everything,10. Just A Little Bit Of Your Heart,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/10. Just A Little Bit Of Your Heart.flac,..\data\masterDS,..\data\masterDS\10. Just A Little Bit Of Your Heart0.flac,full
1778,mujer,Ariana Grande,My Everything,11. Hands On Me,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/11. Hands On Me.flac,..\data\masterDS,..\data\masterDS\11. Hands On Me0.flac,full
1798,mujer,Ariana Grande,My Everything,12. My Everything,/audio/mujer/Ariana Grande/My Everything,/audio/mujer/Ariana Grande/My Everything/12. My Everything.flac,..\data\masterDS,..\data\masterDS\12. My Everything0.flac,full
1815,mujer,Ariana Grande,My Everything (Deluxe),01. Intro,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/01. Intro.flac,..\data\masterDS,..\data\masterDS\01. Intro0.flac,full
1823,mujer,Ariana Grande,My Everything (Deluxe),02. Problem,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/02. Problem.flac,..\data\masterDS,..\data\masterDS\02. Problem0.flac,full
1843,mujer,Ariana Grande,My Everything (Deluxe),03. One Last Time,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/03. One Last Time.flac,..\data\masterDS,..\data\masterDS\03. One Last Time0.flac,full
1863,mujer,Ariana Grande,My Everything (Deluxe),04. Why Try,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/04. Why Try.flac,..\data\masterDS,..\data\masterDS\04. Why Try0.flac,full
1885,mujer,Ariana Grande,My Everything (Deluxe),05. Break Free,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/05. Break Free.flac,..\data\masterDS,..\data\masterDS\05. Break Free0.flac,full
1907,mujer,Ariana Grande,My Everything (Deluxe),06. Best Mistake,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/06. Best Mistake.flac,..\data\masterDS,..\data\masterDS\06. Best Mistake0.flac,full
1931,mujer,Ariana Grande,My Everything (Deluxe),07. Be My Baby,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/07. Be My Baby.flac,..\data\masterDS,..\data\masterDS\07. Be My Baby0.flac,full
1953,mujer,Ariana Grande,My Everything (Deluxe),08. Break Your Heart Right Back,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/08. Break Your Heart Right Back.flac,..\data\masterDS,..\data\masterDS\08. Break Your Heart Right Back0.flac,full
1979,mujer,Ariana Grande,My Everything (Deluxe),09. Love Me Harder,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/09. Love Me Harder.flac,..\data\masterDS,..\data\masterDS\09. Love Me Harder0.flac,full
2003,mujer,Ariana Grande,My Everything (Deluxe),10. Just A Little Bit Of Your Heart,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/10. Just A Little Bit Of Your Heart.flac,..\data\masterDS,..\data\masterDS\10. Just A Little Bit Of Your Heart0.flac,full
2027,mujer,Ariana Grande,My Everything (Deluxe),11. Hands On Me,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/11. Hands On Me.flac,..\data\masterDS,..\data\masterDS\11. Hands On Me0.flac,full
2047,mujer,Ariana Grande,My Everything (Deluxe),12. My Everything,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/12. My Everything.flac,..\data\masterDS,..\data\masterDS\12. My Everything0.flac,full
2064,mujer,Ariana Grande,My Everything (Deluxe),13. Bang Bang,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/13. Bang Bang.flac,..\data\masterDS,..\data\masterDS\13. Bang Bang0.flac,full
2084,mujer,Ariana Grande,My Everything (Deluxe),14. Only 1,/audio/mujer/Ariana Grande/My Everything (Deluxe),/audio/mujer/Ariana Grande/My Everything (Deluxe)/14. Only 1.flac,..\data\masterDS,..\data\masterDS\14. Only 10.flac,full
